city,state,name,longitude,latitude,url,description,length
Laie,Hawaii,Laie Falls Trail,-157.93755,21.64525,http://www.tripleblaze.com/trail.php?c=3&i=1452,"Laie Falls Trail features 6 miles of hiking trails near Laie, HI.",6.00
Kekaha,Hawaii,Koke'e State Park,-159.655647,22.130847,http://www.tripleblaze.com/trail.php?c=3&i=3952,"Koke'e State Park is known for its breathtaking views of the Kalalau Valley. Picnicking, tent camping and nature observation are all popular activities here. Many visitors come to the area for the rain forest hiking along the rim of the Walmea Canyon. Trout fishing and pig hunting are also permitted during the appropriate seasons. The park offers several amenities including restrooms, outdoor showers, picnic areas, hiking trails, trash cans, a restaurant and drinking water.<br /><br />The park has 19 popular hiking trails varying in level of difficulty, but all equally scenic. The parks totaled equal approximately 25 miles, but most likely a larger length.",25.00
Na Pali Coast State Wilderness Park,Hawaii,Na Pali Coast State Wilderness Park,-159.59747,22.207945,http://www.tripleblaze.com/trail.php?c=3&i=3953,"The Na Pali Coast is a beautiful, yet sometimes hazardous park. The cliffs at the park provide a rugged grandeur of narrow valleys ending at the sea. The views are spectacular. Waterfalls and streams are plentiful throughout the deep cuts of the valley cliffs. Camping is an extremely popular activity at this park, but permits are required. The park does not offer drinking water, so bring treatments with you. Several hiking trails are available for visitor use.<br /><br />The Kalalau Trail is the most popular. It is a moderate to difficult trail with exceptional views of wet gulches to open ridge line. Permits are required.",22.00
Ha'ena,Hawaii,Ha'ena State Park,-159.578348,22.220692,http://www.tripleblaze.com/trail.php?c=3&i=3951,"Ha'ena State Park is a scenic area located on Kaua'i's north shore. It is a very popular destination for viewing wet caves, swimming, shore fishing, picnicking or just relaxing on the beach. There is also the 11-mile Kalalau Trail for hikers. It is best to arrive early because parking is limited.",11.00
Big Pine Key,Florida,Bahia Honda State Park,-81.265142,24.661535,http://www.tripleblaze.com/trail.php?c=3&i=3816,"The park has three nature trails. The Silver Palm Trail is located at the southeast end of the island in Sandspur and there is a self-guided brochure available. The other trail is located on the southwest end of the island in the Calusa area and leads you to the top of the Old Bahia Honda Bridge. Along the sides of the trail you may see several butterfly species. The view is spectacular; from the top of the bridge you can see the entire island. You have a bird's-eye view of the water below. You may see large rays or fish jumping. If the water is clear, you can see fish and sea turtles swimming beneath the surface. Or, take a leisurely stroll through the Wings and Waves Butterfly Garden located near the Loggerhead parking lot. This small garden was planted in 1998 after the winds from Hurricane Georges destroyed the vegetation in this area. If you look closely at the foliage, you may see the tiny endangered Miami Blue butterfly.",0.00
Marathon,Florida,Curry Hammock State Park,-80.956079,24.758894,http://www.tripleblaze.com/trail.php?c=3&i=3818,A 1.5-mile nature trail winds through the hardwood hammock. The tread is uneven and appropriate footware is recommended.,1.00
Long Key,Florida,Long Key State Park,-80.816853,24.823645,http://www.tripleblaze.com/trail.php?c=3&i=3836,"In addition to the Long Key Lakes Canoe Trail, the park offers two land-based nature trails for visitors to explore. The &quot;Golden Orb Trail,&quot; named after a native spider, is a leisurely 40-minute walk through several plant communities. The &quot;Layton Trail&quot; is located on the bay side of the park and takes 15 minutes to walk.",3.00
Islamorada,Florida,Indian Key Historic State Park,-80.677071,24.878261,http://www.tripleblaze.com/trail.php?c=3&i=3832,"Visitors may explore the island and learn about its unique past by following the re-created street system. This interpretive trail takes you through the historic community of Indian Key, the first county seat of Dade County.",0.00
Islamorada,Florida,Windley Key Fossil Reef Geological State Park,-80.597404,24.948129,http://www.tripleblaze.com/trail.php?c=3&i=3839,"The park has approximately 1.5 miles of trails that wind through a tropical hardwood hammock. Along the trails, visitors are able to observe over 40 species of trees and plants that are native to the Florida Keys. With the aid of a guidebook, numbered trail stops, and interpretive markers, it is easy for visitors to learn about the natural and cultural resources of the site. Ranger-guided tours are also available.",2.00
Key Largo,Florida,John Pennekamp Coral Reef State Park,-80.379856,25.163067,http://www.tripleblaze.com/trail.php?c=3&i=3834,"The park maintains three nature trails in two uniquely different environments. The Mangrove Trail is a loop trail on a boardwalk that allows visitors to peacefully view the mangroves and estuaries they thrive in. An observation tower also allows a larger view of this very important ecosystem. Another loop trail, the Wild Tamarind Trail, winds through the park's beautiful tropical hardwood hammock, allowing visitors to view many of the area's native hardwood species. The Grove Trail also winds through the hardwood hammock, but terminates at the Grove. This cultural resource has been replanted with tropical fruit trees, as originally planted by early pioneers in Key Largo.",0.00
Key Largo,Florida,Florida Keys Overseas Heritage Trail,-80.352564,25.194405,http://www.tripleblaze.com/trail.php?c=3&i=3820,"One of the best ways to experience the Keys' colorful communities and beautiful scenery is on foot. The longest, continuous section of paved trail currently located in the Upper Keys between MM 106 at Key Largo and through MM 72 at Islamorada, Village of Islands. Other sections of trail have been completed as noted on the map. Where there is no existing trail, hikers may, with caution, follow the shoulders of the road since the trail generally parallels US Highway 1.",70.00
Key Largo,Florida,Dagny Johnson Key Largo Hammock Botanical State Park,-80.295451,25.281609,http://www.tripleblaze.com/trail.php?c=3&i=3819,"A self-guided nature trail winds through the tropical hardwood hammock and includes a native plant butterfly garden. An additional 6 miles of backcountry trails are available to explore simply by completing a backcountry permit at the John Pennekamp Coral Reef State Park Ranger Station. Exploring the trails gives visitors a chance to see some of 84 protected and rare species of plants and animals, including wild cotton, mahogany mistletoe, or the Schaus' swallowtail butterfly. The largest tract of West Indian tropical hardwood hammock in the U.S. is contained in this park, and provides a wealth of opportunity for birdwatchers and photographers. The main half-mile trail is paved and accessible to wheelchairs and bicycles.",6.00
Homestead,Florida,Everglades National Park,-80.559075,25.403216,http://www.tripleblaze.com/trail.php?c=3&i=2928,"In many areas of the park, trails allow you to explore the diversity of habitats within south Florida.  While exploring the park, be sure to bring plenty of water and be aware of changing weather conditions.&lt;br /&gt;<br />Source: National Park Service",0.00
Homestead,Florida,Pineland Trails,-80.72078,25.42828,http://www.tripleblaze.com/trail.php?c=3&i=2613,"Pineland Trails features 5 miles of hiking trails near Homestead, FL.",5.00
Key Biscayne,Florida,Bill Baggs Cape Florida State Park,-80.157895,25.684662,http://www.tripleblaze.com/trail.php?c=3&i=3817,"Nature trails are located on the west side of the park. To the north, is a trail through the mangrove wetlands, beginning 100 feet north of The Boater's Grill parking area. A trail through the coastal strand runs from 100 feet east of The Boater's Grill parking area and travels south ending in Area D.",0.00
Miami,Florida,Bird Basin Park,-80.44922,25.74612,http://www.tripleblaze.com/trail.php?c=3&i=1949,"Bird Basin Park features 25 miles of hiking trails near Miami, FL.",25.00
Orlando,Florida,Florida Trail,-81.034331,25.760158,http://www.tripleblaze.com/trail.php?c=3&i=3259,"The Florida Trail is one of only 11 designated National Scenic Trails, and it runs for 1,400 miles from the far southern reaches of Florida all the way up through Central Florida, Northern Florida, and through the Panhandle.",1400.00
Ochopee,Florida,Big Cypress National Preserve,-81.099434,25.862915,http://www.tripleblaze.com/trail.php?c=3&i=2925,"Hiking within Big Cypress can be along designated trails, or orienteering through unmarked territory. Hikers should be prepared for conditions depending on the season. The dry season provides the most comfortable hiking conditions. The wet season has its unique challenges, and hikers should be prepared for tromping through water that in places can be waist deep. During either season rewards can be many - quietly watching an otter eat a fish, feeling the wind rustling your hair, discovering tropical blooms or happening upon a bear track.&lt;br /&gt;<br />Source: National Park Service",0.00
Miami,Florida,Oleta State Park,-80.13411,25.91791,http://www.tripleblaze.com/trail.php?c=3&i=245,"Oleta State Park features 9 miles of hiking trails near Miami, FL.",9.00
Copeland,Florida,Fakahatchee Strand Preserve State Park,-81.360026,25.951221,http://www.tripleblaze.com/trail.php?c=3&i=3846,"A 2,000-foot long boardwalk at Big Cypress Bend, meandering through the old growth cypress, enables the visitor to experience the beauty of this unusual swamp.",1.00
Olmito,Texas,Resaca de la Palma State Park,-97.565744,25.978662,http://www.tripleblaze.com/trail.php?c=3&i=5580,"The World Birding Center visitors' center is the portal to over 8 miles of trails, four decks that overlook the 4 miles of resaca, and a 2.76-mile tram loop that winds through the park. A tram leaves the visitor center every hour on the half hour. Visitors need to park in the parking lot; private vehicles are not allowed within the park. Resaca's many trails can be accessed by tram, hiking, biking or walking.",8.00
Naples,Florida,Collier-Seminole State Park,-81.592226,25.99421,http://www.tripleblaze.com/trail.php?c=3&i=3841,"The park has three trails for hiking or biking. A 0.9 mile walking/nature trail is down by the boat basin. There is a 3.5 mile mountain bike or hiking trail, and the 6.5 mile hiking Adventure Trail. During the rainy season, water may cover parts of the trail; call the ranger station for the current conditions.",11.00
Brownsville,Texas,Palo Alto Battlefield National Historical Park,-97.476466,26.020068,http://www.tripleblaze.com/trail.php?c=3&i=3064,"The Park offers a Â_ mile trail (1 mile round-trip) to an overlook of the battlefield, where visitors will find interpretive panels and replica cannon. Two additional trails lead out to the U.S. and Mexican battle lines. Those who cannot walk this distance may use an accessible road which will allow them to enter the trail at a point closer to the overlook.&lt;br /&gt;<br />Source: National Park Service",0.00
Dania Beach,Florida,John U. Lloyd Beach State Park,-80.113917,26.055969,http://www.tripleblaze.com/trail.php?c=3&i=3835,"At the south end of the park, we offer a relaxing, 45-minute self-guided nature walk through a native subtropical coastal hammock. Here you can see examples of a seaside hardwood forest unchanged from the impact of development. You may also see wildlife such as squirrels, raccoons and a myriad of birds.",2.00
Southwest Ranches,Florida,East Everglades Levee Trail,-80.44647,26.05991,http://www.tripleblaze.com/trail.php?c=3&i=1818,"East Everglades Levee Trail features 68 miles of hiking trails near Southwest Ranches, FL.",68.00
Davie,Florida,Live Oak Trail,-80.27781,26.0715,http://www.tripleblaze.com/trail.php?c=3&i=5567,"The Live Oak Trail is a 4,843-foot, wood-chipped trail.",1.00
Davie,Florida,Seminole Trail,-80.27248,26.07417,http://www.tripleblaze.com/trail.php?c=3&i=5568,The Seminole Trail is a paved trail that includes an interpretive exhibit on the Seminole Indians.,1.00
Davie,Florida,Pine Island Ridge,-80.27592,26.07964,http://www.tripleblaze.com/trail.php?c=3&i=5569,"The Pine Island Ridge Trail includes a 4,381-foot paved path and a 1,250-foot trail with a 28-foot-high observation tower, Tree Tops Tower, at the entrance to the Live Oak Trail.",1.00
Naples,Florida,Picayune Strand State Forest/ Sabal Palm,-81.603656,26.093227,http://www.tripleblaze.com/trail.php?c=3&i=3091,"This trail is part of the Florida Trailwalker Program. It is a 3.2 mile loop. The forest is made up of a mix of cypress strands, wet prairie, and pine flatwoods in the lowlands, and subtropical hardwood hammocks in the uplands. The majority of this area will be underwater with enough rainfall.",3.00
Sunrise,Florida,Markham Park,-80.35246,26.13047,http://www.tripleblaze.com/trail.php?c=3&i=250,"Markham Park features 10 miles of hiking trails near Sunrise, FL.",10.00
Fort Lauderdale,Florida,Hugh Taylor Birch State Park,-80.103922,26.137781,http://www.tripleblaze.com/trail.php?c=3&i=3831,"The Coastal Hammock Trail provides hikers a 20-minute leisurely walk through a native maritime tropical hardwood hammock ecosystem, some of the last designated within Broward County. Interpretive signs along the trail provide information about the habitat and native flora. The Mid Trail gives a different view of the park by including many plants brought here by Mr. Birch. A self-guided Audio Tour may be taken through your personal cell phone. Please inquire at the Ranger Station for the Mid Trail Audio Tour information. The tour is free at this time, but donations are appreciated for maintaining the program. All donations go to the park's 'Friends' group, Friends of Birch State Park, Inc. Stations are marked with numbers 1-12. This Â_-mile walk winds its way through a mix of native vegetation and non-native species and offers the listener an historical and ecological overview of the park.",3.00
Pompano Beach,Florida,Quiet Waters Park,-80.15531,26.31208,http://www.tripleblaze.com/trail.php?c=3&i=246,"Quiet Waters Park features 5 miles of hiking trails near Pompano Beach, FL.",5.00
Boca Raton,Florida,Daggerwing Nature Center,-80.225698,26.379476,http://www.tripleblaze.com/trail.php?c=3&i=7366,Two trails.,0.00
Estero,Florida,Mound Key Archaeological State Park,-81.871157,26.401285,http://www.tripleblaze.com/trail.php?c=3&i=3855,The park is in development stages.,1.00
Fort Myers Beach,Florida,Lovers Key State Park,-81.882859,26.404585,http://www.tripleblaze.com/trail.php?c=3&i=3853,The Black Island Trail is 2.5 miles of hiking or biking adventure through a maritime hammock along the canal banks of Black Island. There are a total of 8 miles of trails within the park including the beach.,8.00
Estero,Florida,Koreshan State Historic Site,-81.810827,26.431201,http://www.tripleblaze.com/trail.php?c=3&i=3849,The park features a Hiking Trail along the river and a Running Trail along the park boundary that takes you through a pine flatwoods habitat.,2.00
Fort Myers Beach,Florida,Matanzas Pass Preserve,-81.9372,26.448837,http://www.tripleblaze.com/trail.php?c=3&i=8315,The Preserve offers 1.25 miles of trails that wind through the canopies of mangroves and the oak hammock.,1.00
Delray Beach,Florida,West Delray Regional Park,-80.21925,26.46202,http://www.tripleblaze.com/trail.php?c=3&i=1729,"West Delray Regional Park features 3 miles of hiking trails near Delray Beach, FL.",3.00
Estero,Florida,Estero Bay Preserve State Park,-81.915278,26.479183,http://www.tripleblaze.com/trail.php?c=3&i=3845,"The Estero River Scrub has four trails with a combined length of about 10 miles. Visitors hiking to the river can stop to rest at one of the benches located along the bank. At Winkler Point, the observation decks along the trail are a good place to view waterfowl and wading birds. Gopher tortoises, warblers, wrens and woodpeckers are commonly seen.",10.00
Fort Myers,Florida,Six Mile Cypress Slough Preserve,-81.826074,26.570425,http://www.tripleblaze.com/trail.php?c=3&i=8460,"Much effort was needed throughout the 1980s to protect the Six-Mile Cypress watershed from the results of outside development (pollutants, draining off of vital water sources). The Lee County Board of Commissioners and South Florida Water Management District found themselves more than once battling to maintain the integrity of the Preserve's water source. These efforts culminated in 1991 with Lee County Parks and Recreation opening the Preserve's boardwalk and facilities to visitors.",0.00
Falcon Heights,Texas,Falcon State Park,-99.141247,26.581677,http://www.tripleblaze.com/trail.php?c=3&i=5544,Self-guided nature trail.,1.00
Felda,Florida,Okaloacoochee Slough State Forest/ Twin Mills,-81.349268,26.593022,http://www.tripleblaze.com/trail.php?c=3&i=3092,"This trail is part of the Florida Trailwalker Program. It is a 2.3 mile loop. The forest is home to, threatened, and endangered species such as the Florida panther, Florida black bear, sandhill crane, wood stork, and gopher tortoise.",2.00
West Palm Beach,Florida,Okeeheelee Nature Center,-80.164725,26.651209,http://www.tripleblaze.com/trail.php?c=3&i=7374,Excellent trails.,2.00
Palm Beach,Florida,Lake Trail,-80.043597,26.706015,http://www.tripleblaze.com/trail.php?c=3&i=1627,"Multi-use paved trail&lt;br /&gt;<br />&lt;br /&gt;<br />This trail follows the intracoastal waterway for a majority of the way. It passes the famous White Hall, the winter estate for guiled age railroad tycoon Henry Flagler. after crossing Royal Palm  way the trail returns to along the water and proveds spectacular views of West Palm Beach and the estates of Palm Beach.",9.00
Alva,Florida,Hickey's Creek Mitigation Park,-81.66484,26.710931,http://www.tripleblaze.com/trail.php?c=3&i=8420,"Hickey's Creek Mitigation Park offers three, looped HIKING ONLY trails that total five miles.",5.00
Boca Grande,Florida,Cayo Costa State Park,-82.262423,26.723938,http://www.tripleblaze.com/trail.php?c=3&i=3840,"Enjoy a leisurely walk on our nature trails, which meander through our beautiful barrier island. Along the way you can see many species of birds, including several rare and endangered, that visit our island in the spring and fall, during their migratory journeys. Some of these species use our island's natural resources for their nesting activities.",0.00
West palm beach Florida,Florida,Butterfly Orchid Trail (Apoxee Urban  Wilderness Trail),-80.148784,26.726347,http://www.tripleblaze.com/trail.php?c=3&i=2456,Great trail for all ages. ADA accessible paved trail,1.00
West Palm Beach,Florida,Apoxee Trail (Apoxee Urban Wilderness Park),-80.148784,26.726347,http://www.tripleblaze.com/trail.php?c=3&i=2436,Pronounced &quot;Ah-po-ee&quot;&lt;br /&gt;<br />Parking and Trailhead Located Just off of Jog Rd on the west side(Just North of Okeechobee Blvd).,3.00
West Palm Beach,Florida,Owa-hee Trail (Grassy-Waters &amp; Apoxee Urban Wilderness),-80.148784,26.726347,http://www.tripleblaze.com/trail.php?c=3&i=2455,"This trail follows hard packed trail on top of the levee system that surrounds both Grassy Waters Preserve and Apoxee Urban Wilderness Park. &lt;br /&gt;<br />Offers great wildlife viewing opportunities, including migratory birds in the winter.",17.00
Alva,Florida,Caloosahatchee Regional Park,-81.65468,26.7266,http://www.tripleblaze.com/trail.php?c=3&i=177,"Caloosahatchee Regional Park features 11 miles of hiking trails near Alva, FL.",11.00
West Palm Beach,Florida,Apoxee Urban Wilderness Park,-80.150974,26.727493,http://www.tripleblaze.com/trail.php?c=3&i=3279,Pronounced &quot;Ah-po-ee&quot;&lt;br /&gt;<br />&lt;br /&gt;<br />This park is home to several different hiking trails.&lt;br /&gt;<br />&lt;br /&gt;<br />Parking and Trailhead Located Just off of Jog Rd on the west side(Just North of Okeechobee Blvd).,10.00
Boca Grande,Florida,Gasparilla Island State Park,-82.261633,26.733574,http://www.tripleblaze.com/trail.php?c=3&i=3847,"Enjoy a leisurely walk on our nature trails, which meander through our beautiful barrier island. Along the way you can see many species of birds, including several rare and endangered, that visit our island in the spring and fall, during their migratory journeys. Some of these species use our island's natural resources for their nesting activities.",1.00
West Palm Beach,Florida,Dyer Park,-80.13084,26.77921,http://www.tripleblaze.com/trail.php?c=3&i=1822,"Dyer Park features 8 miles of hiking trails near West Palm Beach, FL.",8.00
West Palm Beach,Florida,Grassy Waters Preserve Boardwalk,-80.169197,26.808292,http://www.tripleblaze.com/trail.php?c=3&i=2437,"Short, easy family hike on a well maintained boardwalk with spectacular views!&lt;br /&gt;<br />&lt;br /&gt;<br />The nature center offers programs and canoe trips.",1.00
West Palm Beach,Florida,Hog Hammock Trail,-80.172583,26.816692,http://www.tripleblaze.com/trail.php?c=3&i=2457,Short easy hike with great view of cypress swamp and open prairies,3.00
North Palm Beach,Florida,Richard S. Weinstein Satinleaf Nature Trail,-80.044696,26.828545,http://www.tripleblaze.com/trail.php?c=3&i=1975,This short trail offers you a glimpse of maritime hammock filled with several species of tropical plants.,1.00
North Palm Beach,Florida,John D. MacArthur Beach State Park,-80.048746,26.836377,http://www.tripleblaze.com/trail.php?c=3&i=3833,The park has three nature trails for visitors to explore.,0.00
Delta,Florida,Ranch Trail,-80.196919,26.840903,http://www.tripleblaze.com/trail.php?c=3&i=2494,This trail follows along the northern boarder of the the natural area.,2.00
Delta,Florida,Ocean to Lake Trail (Corbett WMA),-80.307432,26.851277,http://www.tripleblaze.com/trail.php?c=3&i=2493,One of the more remote sections of The Ocean to Lake trail offering amazing vistas. Some sections are underwater most of the year so be prepared to get wet.,28.00
Delta,Florida,Western Trail,-80.212707,26.856479,http://www.tripleblaze.com/trail.php?c=3&i=2495,This trail follows the western boundary of the park along a sandy trail that can be under water during the wet season.,1.00
